App YnH,Common Platform Enumeration
prestashop,cpe:2.3:a:prestashop:prestashop
privatebin,cpe:2.3:a:privatebin:privatebin
proftpd,cpe:2.3:a:proftpd:proftpd
prometheus,cpe:2.3:a:prometheus:prometheus
prosody,cpe:2.3:a:prosody:prosody
pterodactyl,cpe:2.3:a:pterodactyl:panel
pydio,cpe:2.3:a:pydio:pydio
question2answer,cpe:2.3:a:question2answer:question2answer
radicale,cpe:2.3:a:radicale:radicale
rainloop,cpe:2.3:a:rainloop:webmail
redmine,cpe:2.3:a:redmine:redmine
retroarch,cpe:2.3:a:libretro:retroarch
riot,cpe:2.3:o:riot-os:riot
rocketchat,cpe:2.3:a:rocket.chat:rocket.chat
roundcube,cpe:2.3:a:roundcube:webmail
samba,cpe:2.3:a:samba:samba
seafile,cpe:2.3:a:seafile:seafile
shaarli,cpe:2.3:a:shaarli_project:shaarli
shadowsocks,cpe:2.3:a:shadowsocks:shadowsocks-libev
shellinabox,cpe:2.3:a:shellinabox_project:shellinabox
shuri,cpe:2.3:a:justsystems:shuriken
sickrage,cpe:2.3:a:sickrage:sickrage
sitemagiccms,cpe:2.3:a:sitemagic:sitemagic
snipeit,cpe:2.3:a:snipeitapp:snipe-it
soapbox,cpe:2.3:a:soapbox_project:soapbox
sogo,cpe:2.3:a:inverse:sogo
sphinx,cpe:2.3:a:sphinxsearch:sphinx
spip,cpe:2.3:a:spip:spip
subsonic,cpe:2.3:a:subsonic:subsonic
sympa,cpe:2.3:a:sympa:sympa
syncthing,cpe:2.3:a:syncthing:syncthing
teampass,cpe:2.3:a:teampass:teampass
tiki,cpe:2.3:a:tiki:tiki
trilium,cpe:2.3:a:trilium_project:trilium
turtl,cpe:2.3:a:lyonbros:turtl
unbound,cpe:2.3:a:nlnetlabs:unbound
weblate,cpe:2.3:a:weblate:weblate
webmin,cpe:2.3:a:webmin:webmin
webtrees,cpe:2.3:a:webtrees:webtrees
wekan,cpe:2.3:a:wekan_project:wekan
wildfly,cpe:2.3:a:redhat:jboss_wildfly_application_server
wondercms,cpe:2.3:a:wondercms:wondercms
wordpress,cpe:2.3:a:wordpress:wordpress
yeswiki,cpe:2.3:a:yeswiki:yeswiki
yourls,cpe:2.3:a:yourls:yourls
yunohost,cpe:2.3:o:yunohost:yunohost
zabbix,cpe:2.3:a:zabbix:zabbix
